pincode,district_name,state_name,serviceable,city_name,city_lat,city_long
110090,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110091,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110092,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110093,North East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110094,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110095,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110096,East Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110097,South West Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110098,New Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
110100,Central Delhi,DELHI,1,Delhi,28.7040592,77.10249019999999
120022,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122001,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122002,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122003,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122004,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122005,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122006,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122007,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122008,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122009,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122010,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122011,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122012,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122015,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122016,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122017,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122018,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122022,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122050,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122051,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122052,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122101,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
122102,Gurgaon,HARYANA,1,Gurgaon,28.4594965,77.0266383
