,actor,applicationid,from_status,substatuses,userid
824,thirunaukkarasu.v,47251,CREDIT_PENDING,"[""FOIR""]",408284
825,vineeth.s,47255,INITIATED,"[""MCA_NOT_FOUND""]",442880
826,anurag.prateek,47269,CREDIT_PENDING,"[""FOIR""]",360041
827,aparajita.bariyar,47273,INITIATED,"[""PROPRIETORSHIP""]",86051
828,pranjusha.periyambra,47276,CREDIT_PENDING,"[""FOIR""]",441517
829,aparajita.bariyar,47278,INITIATED,"[""PROPRIETORSHIP""]",31523
830,sumalatha.thadimari,47285,INITIATED,"[""FOIR""]",436165
831,anurag.prateek,47287,CREDIT_PENDING,"[""FOIR""]",443877
832,sumalatha.thadimari,47288,INITIATED,"[""FOIR""]",444011
833,sumalatha.thadimari,47294,INITIATED,"[""FOIR""]",443967
834,sumalatha.thadimari,47300,CREDIT_PENDING,"[""FOIR""]",444038
835,preetham.shetty,47301,INITIATED,"[""MCA_NOT_FOUND""]",440272
836,preetham.shetty,47311,INITIATED,"[""MCA_NOT_FOUND""]",444182
837,preetham.shetty,47312,INITIATED,"[""MCA_NOT_FOUND""]",372096
838,preetham.shetty,47317,INITIATED,"[""MCA_NOT_FOUND""]",439490
839,sumalatha.thadimari,47318,INITIATED,"[""FOIR""]",444142
840,sumalatha.thadimari,47323,CREDIT_PENDING,"[""FOIR""]",99707
841,preetham.shetty,47325,INITIATED,"[""PROPRIETORSHIP""]",169087
842,preetham.shetty,47326,INITIATED,"[""MCA_NOT_FOUND""]",444262
843,avijit.mohanty,47328,CREDIT_PENDING,"[""FOIR""]",444185
844,preetham.shetty,47333,INITIATED,"[""PROPRIETORSHIP""]",438142
845,preetham.shetty,47334,INITIATED,"[""FOIR""]",302324
846,lakshmidevi.m,47341,CREDIT_PENDING,"[""FOIR""]",69345
847,sumalatha.thadimari,47353,INITIATED,"[""FOIR""]",136606
848,sumalatha.thadimari,47354,INITIATED,"[""FOIR""]",47390
849,sumalatha.thadimari,47363,INITIATED,"[""FOIR""]",389632
850,sumalatha.thadimari,47364,INITIATED,"[""FOIR""]",1411
851,preetham.shetty,47370,INITIATED,"[""MCA_NOT_FOUND""]",375907
852,lakshmidevi.m,47376,CREDIT_PENDING,"[""FOIR""]",444840
853,preetham.shetty,47377,INITIATED,"[""PROPRIETORSHIP""]",359133
854,preetham.shetty,47379,INITIATED,"[""MCA_NOT_FOUND""]",425918
855,anurag.prateek,47385,CREDIT_PENDING,"[""FOIR""]",442304
856,sumalatha.thadimari,47386,INITIATED,"[""MCA_NOT_FOUND""]",442815
857,sumalatha.thadimari,47404,INITIATED,"[""FOIR""]",50454
858,sumalatha.thadimari,47412,INITIATED,"[""FOIR""]",56210
859,vineeth.s,47413,INITIATED,"[""MCA_NOT_FOUND""]",443255
860,vineeth.s,47421,INITIATED,"[""MCA_NOT_FOUND""]",80201
861,k.sowmith,47428,INITIATED,"[""MCA_NOT_FOUND""]",441499
862,saurabh.singh,47437,INITIATED,"[""FOIR""]",442576
863,preetham.shetty,47450,INITIATED,"[""FOIR""]",409929
864,vineeth.s,47452,INITIATED,"[""FOIR""]",426988
865,preetham.shetty,47453,INITIATED,"[""MCA_NOT_FOUND""]",415811
866,lakshmidevi.m,47458,INITIATED,"[""CIBIL_MIN"", ""MCA_NOT_FOUND""]",445753
867,lakshmidevi.m,47459,INITIATED,"[""FOIR"", ""TRADE_AND_GAME"", ""OTHER""]",197876
868,lakshmidevi.m,47460,INITIATED,"[""FOIR""]",442845
869,vineeth.s,47471,INITIATED,"[""MCA_NOT_FOUND""]",445684
870,vineeth.s,47516,INITIATED,"[""FOIR""]",444378
871,avijit.mohanty,47551,CREDIT_PENDING,"[""FOIR""]",422472
872,k.sowmith,47552,INITIATED,"[""PROPRIETORSHIP""]",91854
873,k.sowmith,47553,INITIATED,"[""MCA_NOT_FOUND""]",446677
874,sumalatha.thadimari,47554,INITIATED,"[""FOIR""]",103406
875,priyanka.jain,47556,INITIATED,"[""FOIR""]",30922
876,shreyas.r,47560,CREDIT_PENDING,"[""FOIR""]",439177
877,preetham.shetty,47563,INITIATED,"[""MCA_NOT_FOUND""]",422206
878,chandrakala.nb,47578,CREDIT_PENDING,"[""FOIR""]",445893
879,avijit.mohanty,47589,CREDIT_PENDING,"[""FOIR""]",447967
880,avijit.mohanty,47595,CREDIT_PENDING,"[""FOIR""]",448103
881,prashanth.eswaramoorti,47597,INITIATED,"[""FOIR""]",22431
882,anurag.prateek,47609,CREDIT_PENDING,"[""FOIR""]",195358
883,lakshmidevi.m,47624,INITIATED,"[""LLP_AND_PARTNERSHIP""]",447470
884,lakshmidevi.m,47625,INITIATED,"[""FOIR""]",448343
885,lakshmidevi.m,47626,INITIATED,"[""FOIR""]",377466
886,lakshmidevi.m,47631,INITIATED,"[""FOIR""]",412412
887,lakshmidevi.m,47632,INITIATED,"[""FOIR""]",446290
888,avijit.mohanty,47648,CREDIT_PENDING,"[""FOIR""]",391699
889,sumalatha.thadimari,47650,INITIATED,"[""FOIR"", ""OVERDUES""]",83692
890,sumalatha.thadimari,47655,INITIATED,"[""FOIR"", ""OVERDUES""]",119663
891,sumalatha.thadimari,47662,INITIATED,"[""MCA_NOT_FOUND""]",440328
892,sumalatha.thadimari,47663,INITIATED,"[""FOIR""]",448309
893,sumalatha.thadimari,47665,INITIATED,"[""MCA_NOT_FOUND""]",288670
894,preetham.shetty,47682,INITIATED,"[""MCA_NOT_FOUND""]",330744
895,saurabh.singh,47689,INCOMPLETE_INFO,"[""FOIR""]",234577
896,sumalatha.thadimari,47694,INITIATED,"[""FOIR""]",448961
897,sumalatha.thadimari,47696,INITIATED,"[""MCA_NOT_FOUND""]",448977
898,sumalatha.thadimari,47704,INITIATED,"[""FOIR"", ""CHEQUE_BOUNCES""]",48082
899,sumalatha.thadimari,47706,INITIATED,"[""FOIR""]",114854
900,sumalatha.thadimari,47707,INITIATED,"[""FOIR"", ""CHEQUE_BOUNCES""]",449053
901,sumalatha.thadimari,47720,INITIATED,"[""FOIR""]",271374
902,sumalatha.thadimari,47729,INITIATED,"[""FOIR""]",430316
903,preetham.shetty,47730,INITIATED,"[""FOIR""]",64908
904,preetham.shetty,47732,INITIATED,"[""FOIR""]",449359
905,preetham.shetty,47745,INITIATED,"[""FOIR""]",445729
906,aparajita.bariyar,47750,INITIATED,"[""PROPRIETORSHIP""]",6103
907,avijit.mohanty,47762,INITIATED,"[""MCA_NOT_FOUND""]",446578
908,lakshmidevi.m,47765,INITIATED,"[""FOIR""]",444197
909,vineeth.s,47779,INITIATED,"[""MCA_NOT_FOUND""]",410807
910,preetham.shetty,47789,INITIATED,"[""LLP_AND_PARTNERSHIP""]",446709
911,avijit.mohanty,47790,INITIATED,"[""FOIR""]",439138
912,avijit.mohanty,47791,INITIATED,"[""FOIR""]",450285
913,shreyas.r,47797,CREDIT_PENDING,"[""FOIR""]",370458
914,vineeth.s,47799,INITIATED,"[""FOIR""]",272377
915,preetham.shetty,47800,INITIATED,"[""FOIR""]",77965
916,preetham.shetty,47801,INITIATED,"[""MCA_NOT_FOUND""]",206714
917,sumalatha.thadimari,47858,INITIATED,"[""FOIR""]",415164
918,preetham.shetty,47875,INITIATED,"[""FOIR""]",128100
919,preetham.shetty,47885,INITIATED,"[""FOIR""]",428711
920,jeswin.george,47907,INITIATED,"[""MCA_NOT_FOUND""]",276791
921,preetham.shetty,47912,INITIATED,"[""FOIR""]",447858
922,aparajita.bariyar,47913,INITIATED,"[""FOIR""]",420461
923,preetham.shetty,47920,INITIATED,"[""FOIR""]",449798
924,preetham.shetty,47923,INITIATED,"[""FOIR""]",448256
925,siddharthan.l,47931,INITIATED,"[""FOIR""]",152538
926,siddharthan.l,47950,INITIATED,"[""FOIR""]",450889
927,aparajita.bariyar,47958,INITIATED,"[""FOIR""]",451311
928,saurabh.singh,47986,INITIATED,"[""FOIR""]",9829
929,prashanth.eswaramoorti,47988,INITIATED,"[""FOIR""]",362724
930,preetham.shetty,47991,INITIATED,"[""FOIR""]",40406
931,aparajita.bariyar,47992,INITIATED,"[""FOIR""]",449129
932,prashanth.eswaramoorti,47999,INITIATED,"[""MCA_NOT_FOUND""]",315557
933,lakshmidevi.m,48017,INITIATED,"[""FOIR""]",450924
934,preetham.shetty,48019,INITIATED,"[""FOIR""]",453886
935,shreyas.r,48020,INITIATED,"[""FOIR""]",453822
936,lakshmidevi.m,48024,INITIATED,"[""FOIR""]",400880
937,siddharthan.l,48041,INITIATED,"[""FOIR""]",369273
938,lakshmidevi.m,48053,INITIATED,"[""MCA_NOT_FOUND""]",50917
939,lakshmidevi.m,48074,INITIATED,"[""MCA_NOT_FOUND""]",454302
940,lakshmidevi.m,48075,INITIATED,"[""MCA_NOT_FOUND""]",162073
941,lakshmidevi.m,48080,INITIATED,"[""FOIR""]",50734
942,avijit.mohanty,48085,CREDIT_PENDING,"[""FOIR""]",454398
943,lakshmidevi.m,48086,INITIATED,"[""MCA_NOT_FOUND""]",89656
944,lakshmidevi.m,48093,INITIATED,"[""FOIR""]",454611
945,lakshmidevi.m,48094,INITIATED,"[""MCA_NOT_FOUND""]",417780
946,prashanth.eswaramoorti,48095,INITIATED,"[""OVERDUES"", ""MCA_NOT_FOUND""]",251290
947,lakshmidevi.m,48097,INITIATED,"[""FOIR"", ""OVERDUES""]",324443
948,lakshmidevi.m,48100,INITIATED,"[""FOIR"", ""OVERDUES""]",175404
