Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,latitude,longitude,pincode
,Name,Pincode,Lat ,Long,,,
,Delhi,110050,28.6466758,76.8123806,,,
,Delhi,110098,28.6466758,76.8123806,,,
,Delhi,110100,28.6466758,76.8123806,,,
,Gurgaon,120022,28.6466758,76.8123806,,,
,Faridabad,121006,28.3784284,77.2924267,,,
,Panchkula,134105,30.7024861,76.7921156,,,
,Chandigarh,160005,30.7350626,76.6933167,,,
,Ghaziabad,201004,28.7033152,77.3522967,,,
,Noida,201305,28.5296568,77.3740831,,,
,Jaipur,302004,26.888754,75.7926443,,,
,Ahmedabad,380003,23.0561938,72.5956149,,,
,Gandhi Nagar,382009,23.1947582,72.6328211,,,
,Mumbai,400023,19.0821976,72.7407551,,,
,Thane,401104,19.2728552,72.878148,,,
,Pune,411067,18.5525267,73.8071361,,,
,Hyderabad,500021,17.4122996,78.2676144,,,
,Shamshabad,500104,17.2447128,78.3913418,,,
,Bengaluru,560044,12.953847,77.3500511,,,
,Bangalore,560116,12.953847,77.3500511,,,
,Chennai,600008,13.0693089,80.2465211,,,
,Kanchipuram,600016,12.9931872,80.159541,,,
,Tiruvallur,600058,13.0932312,80.1404646,,,
,Kolkata,700001,22.5753361,88.3383648,,,
,Howrah,711102,22.5696805,88.3125112,,,
,Hooghly,712101,22.8934736,88.3676793,,,
,,,,,19.864268600000003,79.3437394,442901.0
,,,,,19.852595,79.4928857,442701.0
,,,,,23.143722,111.785937,441226.0
,,,,,19.9184147,80.23213129999999,442604.0
,,,,,20.056226000000002,79.1661407,442902.0
,,,,,19.362731699999998,80.41039570000001,442710.0
,,,,,19.9990624,79.582819,441224.0
,,,,,20.0618585,79.8520818,441225.0
,,,,,19.6053258,80.54384499999999,442704.0
,,,,,19.970023899999997,79.3064152,442502.0
,,,,,19.2096346,80.1875065,442709.0
,,,,,19.9926031,79.2789407,442402.0
,,,,,19.973227899999998,79.29866679999999,442401.0
,,,,,20.1627198,79.17742679999999,442501.0
,,,,,20.079698699999998,79.35782009999998,442404.0
,,,,,20.3087788,78.8835548,442907.0
,,,,,20.3054035,80.41039570000001,442606.0
,,,,,20.1926542,79.6726632,441212.0
,,,,,19.7285585,78.99668879999999,442916.0
,,,,,19.9386959,79.1661407,442505.0
,,,,,20.6138129,79.6277523,441205.0
,,,,,20.1597664,79.5153773,441222.0
,,,,,19.893707100000004,79.2958491,442507.0
,,,,,20.141824800000002,79.0306032,442503.0
,,,,,19.9774098,79.22255759999999,442406.0
,,,,,21.137252899999996,79.058856,440010.0
,,,,,21.1304462,79.0899245,440003.0
,,,,,21.129149899999998,79.11533670000001,440024.0
,,,,,21.150653,79.1294516,440008.0
,,,,,21.1775074,79.0899245,440014.0
,,,,,21.1813598,79.0136475,440013.0
,,,,,21.1583917,79.0673302,440001.0
,,,,,21.0872562,79.0136475,440019.0
,,,,,21.1418451,79.0842765,440012.0
,,,,,21.170659699999998,79.1129888,440017.0
,,,,,21.1484602,79.0955723,440018.0
,,,,,21.102880300000002,79.0277774,440036.0
,,,,,21.1445576,79.17178390000001,440035.0
,,,,,21.0995693,79.0673302,440025.0
,,,,,21.115747199999998,79.0447306,440022.0
,,,,,21.1421125,79.11110179999999,440032.0
,,,,,21.182288800000002,79.0729793,440030.0
,,,,,21.0977049,79.1294516,440034.0
,,,,,21.0811901,79.0560311,440005.0
,,,,,21.1644478,79.11533670000001,440002.0
,,,,,21.111700199999998,79.0729793,440015.0
,,,,,21.123098000000002,79.0673302,440020.0
,,,,,21.1041576,79.0927484,440027.0
,,,,,21.163170899999997,79.050381,440006.0
,,,,,21.1093051,78.99103520000001,440016.0
,,,,,21.1389068,79.03907990000002,440033.0
,,,,,21.2107799,79.1040432,440026.0
,,,,,21.1616971,79.0277774,440007.0
,,,,,21.154989899999997,79.0376672,440021.0
,,,,,20.9380612,79.5378634,441210.0
,,,,,21.368347500000002,78.9061921,441107.0
,,,,,21.5168245,80.14285840000001,441614.0
,,,,,21.1331376,78.9061921,440023.0
,,,,,20.791214,79.4478858,441201.0
,,,,,20.9490407,79.7175517,441903.0
,,,,,21.5553503,79.2451149,441401.0
,,,,,20.810368399999998,79.7624177,441908.0
,,,,,21.420360100000003,79.7175517,441912.0
,,,,,20.871604,80.41039570000001,441901.0
,,,,,21.0627124,79.45913780000001,441202.0
,,,,,20.7551289,79.6277523,441910.0
,,,,,21.153745800000003,79.9864071,441802.0
,,,,,21.073594500000002,78.8948741,441110.0
,,,,,21.0985646,79.8520818,441804.0
,,,,,21.316193,80.34359079999999,441902.0
,,,,,21.4091807,79.5378634,441914.0
,,,,,20.8298826,79.3127543,441203.0
,,,,,21.3370134,79.8968798,441911.0
,,,,,20.7791208,80.03113640000001,441701.0
,,,,,21.372798899999996,79.3352899,441106.0
,,,,,20.8847044,79.0645056,441108.0
,,,,,21.5146346,79.7175517,441907.0
,,,,,21.499805,80.254435,441601.0
,,,,,21.4339107,79.0079949,441101.0
,,,,,21.230207500000002,78.951451,441501.0
,,,,,21.1497179,80.32131059999999,441807.0
,,,,,21.475755,79.8520818,441915.0
,,,,,20.861484899999997,80.23213129999999,441702.0
,,,,,20.868171,79.94165490000002,441805.0
,,,,,21.1292799,79.582819,441906.0
,,,,,21.437817199999998,78.54337009999999,441304.0
,,,,,20.6359543,79.22255759999999,441214.0
,,,,,21.2123565,79.7848422,441905.0
,,,,,20.721456,79.8520818,441803.0
,,,,,21.1694655,79.6614376,441904.0
,,,,,21.293691100000004,78.4979248,441305.0
,,,,,21.3005517,80.07584250000001,441801.0
,,,,,21.1152217,79.35782009999998,441104.0
,,,,,21.0069551,79.8968798,441809.0
,,,,,21.2650201,79.4928857,441102.0
,,,,,21.0201438,80.1205256,441806.0
,,,,,21.330261899999996,79.0419053,441113.0
,,,,,20.9903768,79.2451149,441204.0
,,,,,21.0876842,79.6726632,441924.0
,,,,,21.3390979,79.17742679999999,441105.0
,,,,,21.2791379,80.5216184,441916.0
,,,,,21.3312179,78.3614672,441301.0
,,,,,21.3371817,79.7063317,441913.0
,,,,,21.2560081,78.63419959999999,441302.0
,,,,,21.2734202,79.6277523,441909.0
,,,,,21.403213600000004,78.7249469,441306.0
,,,,,21.315263199999997,78.8156113,441502.0
,,,,,21.1180429,78.67958359999999,441103.0
,,,,,32.3095513,112.1422987,441123.0
,,,,,21.260351800000002,79.233837,441404.0
,,,,,20.9420213,78.8609122,441122.0
,,,,,21.2563737,79.0814523,441111.0
,,,,,21.2309922,79.1435645,441001.0
,,,,,21.4594082,78.8609122,441112.0
,,,,,21.4440621,78.46382740000001,441303.0
,,,,,21.293879,79.11533670000001,441109.0
,,,,,20.5889363,78.4979248,442101.0
,,,,,20.3719805,78.7702895,442307.0
,,,,,20.732910399999998,78.54337009999999,442001.0
,,,,,20.50703,78.67958359999999,442304.0
,,,,,21.271445999999997,78.1792434,442202.0
,,,,,21.017989899999996,78.24761459999999,442201.0
,,,,,20.4968021,78.8835548,442301.0
,,,,,20.7675683,78.3614672,442302.0
,,,,,20.8610085,78.7022678,442104.0
,,,,,20.678958899999998,78.792953,442102.0
,,,,,21.1245371,78.42971870000001,442203.0
,,,,,20.721736,78.63987370000001,442003.0
,,,,,20.623597,78.3159411,442306.0
,,,,,20.9678435,78.54337009999999,442106.0
,,,,,20.624517899999997,79.0419053,442305.0
,,,,,20.820463600000004,78.6228504,442111.0
,,,,,20.7135743,78.3443972,442303.0
,,,,,20.7678917,78.8948741,442105.0
,,,,,20.0325323,78.97407249999999,445304.0
,,,,,20.4992652,77.7108686,445210.0
