,pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
698,401607,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.889248100000003,72.9814877,74.0
699,401608,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9554563,72.7481369,85.0
700,401608,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9554563,72.7481369,85.0
701,401609,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9186315,72.9873924,77.0
702,401609,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.9186315,72.9873924,77.0
703,401610,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.0642735,72.886993,94.0
704,401610,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.0642735,72.886993,94.0
705,401701,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.1164378,72.7747325,101.0
706,401701,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.1164378,72.7747325,101.0
707,401702,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.0942132,72.7540473,99.0
708,401702,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.0942132,72.7540473,99.0
709,401703,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.0779017,72.7924612,97.0
710,401703,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,20.0779017,72.7924612,97.0
740,421303,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6712036,73.2293542,56.0
741,421303,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6712036,73.2293542,56.0
753,421401,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.2574875,73.48872879999998,53.0
754,421401,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.2574875,73.48872879999998,53.0
755,421402,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.2704776,73.6300729,68.0
756,421402,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.2704776,73.6300729,68.0
757,421403,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.3623485,73.5005111,57.0
758,421403,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.3623485,73.5005111,57.0
774,421602,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6056869,73.5122928,70.0
775,421602,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.6056869,73.5122928,70.0
776,421603,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.5127901,73.38265849999998,53.0
777,421603,Thane,MAHARASHTRA,1,Thane,19.2183307,72.9780897,19.5127901,73.38265849999998,53.0
780,410301,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.7597681,73.3679223,57.0
781,410301,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.7597681,73.3679223,57.0
782,410302,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.7702398,73.3723433,58.0
783,410302,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.7702398,73.3723433,58.0
786,410402,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.722102300000003,73.364975,56.0
787,410402,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.722102300000003,73.364975,56.0
788,410403,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.7624466,73.3973936,55.0
789,410403,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.7624466,73.3973936,55.0
796,410502,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.2414397,73.8183804,79.0
797,410502,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.2414397,73.8183804,79.0
798,410502,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.2414397,73.8183804,79.0
799,410503,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0085473,73.92422509999999,54.0
800,410503,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0085473,73.92422509999999,54.0
801,410504,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0777093,74.05351259999998,65.0
802,410504,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0777093,74.05351259999998,65.0
803,410504,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0777093,74.05351259999998,65.0
804,410505,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.968552,73.6065223,56.0
805,410505,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.968552,73.6065223,56.0
812,410509,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1363583,73.6771662,70.0
813,410509,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1363583,73.6771662,70.0
816,410511,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1879861,73.9301037,74.0
817,410511,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.1879861,73.9301037,74.0
822,410515,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0777942,73.92422509999999,62.0
823,410515,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0777942,73.92422509999999,62.0
824,410516,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0651757,73.78308609999998,60.0
825,410516,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,19.0651757,73.78308609999998,60.0
951,412102,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.131442,74.1827119,55.0
952,412102,Pune,MAHARASHTRA,1,Pune,18.5204303,73.85674370000002,18.131442,74.1827119,55.0
