pincode,district_name,state_name,serviceable,city_name,city_lat,city_long,pincode_lat,pincode_long,distance
110051,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6569035,77.2822923,18334.007529653067
110052,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.689477,77.1754088,7306.724045050019
110053,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6756862,77.25963370000002,15676.011110758329
110054,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6903983,77.22753940000003,12313.432027878094
110055,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.645567,77.21109720000003,12438.423954153075
110056,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6812362,77.12110679999998,3115.805800124124
110057,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5616397,77.1558839,16625.353827555347
110058,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.621742600000005,77.0882695,9228.46769758041
110059,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6217627,77.0558233,10198.135635467717
110060,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6354261,77.1856762,11134.4931441529
110061,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5350902,77.05655209999998,19258.07165992
110062,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5099937,77.2354845,25135.54859756376
110063,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.669879100000006,77.10691640000002,3812.8197258066225
110064,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6258689,77.11425770000002,8741.861473278792
110065,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.567812300000003,77.26164729999998,21684.000387184933
110066,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.567447,77.1873371,17264.639291972402
110067,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.543301,77.1682675,18942.33585395867
110068,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4820159,77.2170731,27041.099178406377
110069,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6076453,77.22542659999998,16081.651966754489
110070,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5124389,77.1370115,21503.861201765074
110071,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5613397,77.0020877,18616.616583729065
110072,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.683777600000006,76.9709282,13051.859465645246
110073,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5709305,76.9058293,24237.3513857077
110074,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4550173,77.1837006,28721.72547563069
110075,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5899848,77.0443796,13860.729077407035
110076,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.531953,77.2958536,26859.277583293657
110077,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5709904,77.07184079999998,15049.386024496514
110078,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6102254,77.0300594,12581.288100431046
110080,South Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.4965582,77.2386309,26574.20213709113
110081,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7343765,77.0110492,9544.869882905263
110082,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7762372,77.10016259999998,8002.8256642114
110083,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6925257,77.0884449,1875.5695048418597
110084,North Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7578821,77.19975600000002,11219.208722627129
110085,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7153451,77.1088008,1394.5518895988191
110086,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7019847,77.0788689,2319.6045253464513
110087,West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6703213,77.0857675,4080.7563064524857
110088,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7122105,77.1590304,5597.998635994574
110089,North West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7358942,77.1286829,4358.627875866268
110090,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.5488154,77.253805,22693.0294600575
110091,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6078909,77.3054884,22526.128842730257
110092,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6362211,77.2922332,20012.736940725157
110093,North East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6974374,77.3156292,20840.48891515368
110094,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.7156702,77.277957,17193.04388774607
110095,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.6761864,77.3159348,21087.033236884727
110096,East Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.595324600000005,77.3118642,23753.552729599814
110097,South West Delhi,DELHI,1,Delhi,28.7040592,77.1024902,36.6067444,127.4991872,4754082.740720715
110098,New Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806,29060.28502875909
110100,Central Delhi,DELHI,1,Delhi,28.7040592,77.1024902,28.646675800000004,76.8123806,29060.28502875909
120022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.646675800000004,76.8123806,29494.52551230563
122001,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.455472600000004,77.0219019,643.489725903326
122002,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.474679,77.1048978,7846.832865356685
122003,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4421257,77.0652025,4239.637023198485
122004,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4051175,76.97582740000001,7816.550095325778
122005,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.436224600000006,77.030539,2607.2958842666885
122006,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4813712,76.9931074,4081.6836464355583
122007,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.471851,77.0578855,3352.563342919621
122008,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4929905,77.07241429999998,5820.097785974472
122009,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4641637,77.08234820000001,5480.652866194922
122010,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4904287,77.1168753,9478.32133344176
122011,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4258749,77.0976195,7888.597285566276
122015,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4963709,77.0593246,5190.958881326824
122016,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5079338,77.0751538,7168.365381867578
122017,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.5076558,77.02766,5338.302390520874
122018,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4180814,77.0506896,5159.285368745088
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959,4047.263384350674
122022,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.4599113,77.067959,4047.263384350674
122050,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3563164,76.93117609999999,14773.69511949833
122051,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3484435,76.92397270000002,15896.194774675585
122052,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3702789,76.9124465,14931.672087966499
122101,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3636532,77.0219019,10632.075038957733
122102,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.3117677,77.0794705,17171.47190661323
122103,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,28.1738838,77.0794705,32074.184897755822
122104,Gurgaon,HARYANA,1,Gurgaon,28.459496500000004,77.02663829999999,27.7464579,76.9412601,79463.88265841946
